"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4194267","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405156","","219.92","1","2400767","475073530","455108","WGS","GENOMIC","RANDOM"
"SRX4194266","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405073","","150.7","1","1731130","338474546","455108","WGS","GENOMIC","RANDOM"
"SRX4194265","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405072","","103.35","1","1274378","255326274","455108","WGS","GENOMIC","RANDOM"
"SRX4194264","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405071","","314.85","1","3570081","706199669","455108","WGS","GENOMIC","RANDOM"
"SRX4194263","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405070","","331.39","1","3785268","759607456","455108","WGS","GENOMIC","RANDOM"
"SRX4194262","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405069","","131.5","1","1403888","273356854","455108","WGS","GENOMIC","RANDOM"
"SRX4194261","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405068","","162.45","1","1785045","357530897","455108","WGS","GENOMIC","RANDOM"
"SRX4194259","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405066","","178.06","1","1909159","382875968","455108","WGS","GENOMIC","RANDOM"
"SRX4194258","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405065","","153.68","1","1688160","332184695","455108","WGS","GENOMIC","RANDOM"
"SRX4194257","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405064","","146.49","1","1635457","324703419","455108","WGS","GENOMIC","RANDOM"
"SRX4194241","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405058","","125.35","1","1436330","287619751","455108","WGS","GENOMIC","RANDOM"
"SRX4194240","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405057","","81.85","1","1009746","201830036","455108","WGS","GENOMIC","RANDOM"
"SRX4194239","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405056","","124.15","1","1401941","278259384","455108","WGS","GENOMIC","RANDOM"
"SRX4194238","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405055","","123.99","1","1342610","267560164","455108","WGS","GENOMIC","RANDOM"
"SRX4194237","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405054","","206.01","1","2374345","476290119","455108","WGS","GENOMIC","RANDOM"
"SRX4194236","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405053","","146.69","1","1873761","338202669","455108","WGS","GENOMIC","RANDOM"
"SRX4194235","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405052","","141.29","1","1543442","302816978","455108","WGS","GENOMIC","RANDOM"
"SRX4194234","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405051","","163.69","1","1713321","343810467","455108","WGS","GENOMIC","RANDOM"
"SRX4194233","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405049","","152.92","1","1636062","328025532","455108","WGS","GENOMIC","RANDOM"
"SRX4194231","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405048","","270.49","1","2931627","585752713","455108","WGS","GENOMIC","RANDOM"
"SRX4194230","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405047","","77.76","1","985825","197480636","455108","WGS","GENOMIC","RANDOM"
"SRX4194229","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405046","","84.64","1","934279","186839028","455108","WGS","GENOMIC","RANDOM"
"SRX4194228","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405045","","287.8","1","3176617","628513666","455108","WGS","GENOMIC","RANDOM"
"SRX4194227","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405044","","92.06","1","1154402","231088539","455108","WGS","GENOMIC","RANDOM"
"SRX4194226","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405043","","102.12","1","1268274","254243179","455108","WGS","GENOMIC","RANDOM"
"SRX4194225","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405042","","107.78","1","1275262","251050086","455108","WGS","GENOMIC","RANDOM"
"SRX4194224","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405041","","190.16","1","2231656","440413191","455108","WGS","GENOMIC","RANDOM"
"SRX4194223","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405040","","147.67","1","1820843","365225536","455108","WGS","GENOMIC","RANDOM"
"SRX4194222","","Shigella dysenteriae","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405039","","109.91","1","1275896","251332539","455108","WGS","GENOMIC","RANDOM"
"SRX4194221","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405038","","105.54","1","1270724","253649428","455108","WGS","GENOMIC","RANDOM"
"SRX4194220","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405037","","142.66","1","1547338","308504661","455108","WGS","GENOMIC","RANDOM"
"SRX4194219","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405036","","102.09","1","1111256","222553472","455108","WGS","GENOMIC","RANDOM"
"SRX4194218","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405035","","211.32","1","2419393","468423338","455108","WGS","GENOMIC","RANDOM"
"SRX4194217","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405034","","74.13","1","769263","150814054","455108","WGS","GENOMIC","RANDOM"
"SRX4194216","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405032","","187.51","1","2129484","425896800","455108","WGS","GENOMIC","RANDOM"
"SRX4194215","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405033","","67.03","1","763562","153039407","455108","WGS","GENOMIC","RANDOM"
"SRX4194214","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405031","","71.53","1","927258","183136918","455108","WGS","GENOMIC","RANDOM"
"SRX4194213","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405030","","292.98","1","3458197","627508633","455108","WGS","GENOMIC","RANDOM"
"SRX4194206","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405023","","99.92","1","1243056","237973029","455108","WGS","GENOMIC","RANDOM"
"SRX4194195","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405012","","86.17","1","1100555","212714553","455108","WGS","GENOMIC","RANDOM"
"SRX4194192","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405009","","154.64","1","1714331","339024550","455108","WGS","GENOMIC","RANDOM"
"SRX4194189","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405006","","95.32","1","1186882","232102671","455108","WGS","GENOMIC","RANDOM"
"SRX4194187","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3405004","","136.1","1","1350513","268400626","455108","WGS","GENOMIC","RANDOM"
"SRX4193813","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404630","","94.5","1","1058846","210462720","455108","WGS","GENOMIC","RANDOM"
"SRX4193812","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404629","","103.22","1","1242188","249170817","455108","WGS","GENOMIC","RANDOM"
"SRX4193811","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404628","","164.14","1","1705600","339739333","455108","WGS","GENOMIC","RANDOM"
"SRX4193810","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404627","","76.45","1","1006501","198541938","455108","WGS","GENOMIC","RANDOM"
"SRX4193809","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404625","","179.19","1","1820190","364069476","455108","WGS","GENOMIC","RANDOM"
"SRX4193808","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404626","","93.31","1","1064022","213283187","455108","WGS","GENOMIC","RANDOM"
"SRX4193807","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404624","","98.54","1","1045776","206248989","455108","WGS","GENOMIC","RANDOM"
"SRX4193806","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404623","","255.93","1","2957200","583482221","455108","WGS","GENOMIC","RANDOM"
"SRX4193805","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404622","","224.96","1","2520259","480847770","455108","WGS","GENOMIC","RANDOM"
"SRX4193804","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404621","","205.63","1","2405847","481841657","455108","WGS","GENOMIC","RANDOM"
"SRX4193803","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404620","","230.94","1","2483745","489976158","455108","WGS","GENOMIC","RANDOM"
"SRX4193802","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404619","","63.15","1","664584","132537308","455108","WGS","GENOMIC","RANDOM"
"SRX4193801","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404618","","127.4","1","1570171","280340258","455108","WGS","GENOMIC","RANDOM"
"SRX4193800","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404617","","173.73","1","1768316","354295874","455108","WGS","GENOMIC","RANDOM"
"SRX4193799","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404616","","179.28","1","1787965","353549847","455108","WGS","GENOMIC","RANDOM"
"SRX4193798","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404615","","123.29","1","1249817","248886354","455108","WGS","GENOMIC","RANDOM"
"SRX4193797","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404613","","255.96","1","2895054","564644822","455108","WGS","GENOMIC","RANDOM"
"SRX4193796","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404614","","249.5","1","2668112","533059321","455108","WGS","GENOMIC","RANDOM"
"SRX4193795","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404612","","168.96","1","1673176","334378006","455108","WGS","GENOMIC","RANDOM"
"SRX4193794","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404611","","108.63","1","1333216","264581860","455108","WGS","GENOMIC","RANDOM"
"SRX4193793","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404609","","191.97","1","1977626","393700266","455108","WGS","GENOMIC","RANDOM"
"SRX4193792","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404610","","161.75","1","1982868","377523758","455108","WGS","GENOMIC","RANDOM"
"SRX4193791","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404608","","211.94","1","2394721","473227555","455108","WGS","GENOMIC","RANDOM"
"SRX4193790","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404607","","206.88","1","2326324","455529904","455108","WGS","GENOMIC","RANDOM"
"SRX4193789","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404606","","203.78","1","2171973","424038213","455108","WGS","GENOMIC","RANDOM"
"SRX4193788","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404605","","214.08","1","2581982","491712636","455108","WGS","GENOMIC","RANDOM"
"SRX4193787","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404604","","203.58","1","2410269","456315065","455108","WGS","GENOMIC","RANDOM"
"SRX4193786","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404603","","218.75","1","2456928","482832219","455108","WGS","GENOMIC","RANDOM"
"SRX4193785","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404602","","201.79","1","2526216","504714484","455108","WGS","GENOMIC","RANDOM"
"SRX4193784","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404601","","209.36","1","2504571","499475506","455108","WGS","GENOMIC","RANDOM"
"SRX4193783","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404600","","204.96","1","2155428","431952676","455108","WGS","GENOMIC","RANDOM"
"SRX4193782","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404599","","198.57","1","2259007","445259099","455108","WGS","GENOMIC","RANDOM"
"SRX4193781","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404598","","200.55","1","2276885","439911623","455108","WGS","GENOMIC","RANDOM"
"SRX4193780","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404597","","179.04","1","1938029","382453961","455108","WGS","GENOMIC","RANDOM"
"SRX4193779","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404596","","43.11","1","495896","98927490","455108","WGS","GENOMIC","RANDOM"
"SRX4193778","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404595","","187.8","1","2386673","477424524","455108","WGS","GENOMIC","RANDOM"
"SRX4193777","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404594","","199.89","1","2283011","452876707","455108","WGS","GENOMIC","RANDOM"
"SRX4193776","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404593","","190.21","1","2291710","450111686","455108","WGS","GENOMIC","RANDOM"
"SRX4193775","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404592","","172.27","1","1850233","368371596","455108","WGS","GENOMIC","RANDOM"
"SRX4193774","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404591","","173.8","1","2014381","389519693","455108","WGS","GENOMIC","RANDOM"
"SRX4193773","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404590","","78.43","1","900463","180043322","455108","WGS","GENOMIC","RANDOM"
"SRX4193772","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404589","","177.28","1","2148638","422876716","455108","WGS","GENOMIC","RANDOM"
"SRX4193771","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404588","","186.89","1","2293919","459941269","455108","WGS","GENOMIC","RANDOM"
"SRX4193770","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404587","","181.91","1","1949427","385300585","455108","WGS","GENOMIC","RANDOM"
"SRX4193769","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404586","","115.88","1","1187211","236880751","455108","WGS","GENOMIC","RANDOM"
"SRX4193768","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404585","","174.36","1","1890283","376451923","455108","WGS","GENOMIC","RANDOM"
"SRX4193767","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404584","","198.35","1","2281563","456469994","455108","WGS","GENOMIC","RANDOM"
"SRX4193766","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404583","","173.11","1","1973654","395673684","455108","WGS","GENOMIC","RANDOM"
"SRX4193765","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404582","","184.8","1","2217725","444478038","455108","WGS","GENOMIC","RANDOM"
"SRX4193764","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404581","","72.55","1","868590","174200295","455108","WGS","GENOMIC","RANDOM"
"SRX4193763","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404580","","192.16","1","2068673","403775278","455108","WGS","GENOMIC","RANDOM"
"SRX4193762","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404579","","175.41","1","2245662","445345362","455108","WGS","GENOMIC","RANDOM"
"SRX4193761","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404578","","181.85","1","2074690","408430410","455108","WGS","GENOMIC","RANDOM"
"SRX4193760","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404577","","99.65","1","1317204","260331120","455108","WGS","GENOMIC","RANDOM"
"SRX4193759","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404576","","161.97","1","1870405","368054424","455108","WGS","GENOMIC","RANDOM"
"SRX4193758","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404575","","179.23","1","2010521","392116534","455108","WGS","GENOMIC","RANDOM"
"SRX4193757","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404574","","159.78","1","1912239","382418408","455108","WGS","GENOMIC","RANDOM"
"SRX4193756","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404573","","151.13","1","1898401","380775237","455108","WGS","GENOMIC","RANDOM"
"SRX4193755","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404572","","152.18","1","1737401","348271680","455108","WGS","GENOMIC","RANDOM"
"SRX4193754","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404571","","181.68","1","1781187","354469764","455108","WGS","GENOMIC","RANDOM"
"SRX4193753","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404570","","157.9","1","1830783","356710498","455108","WGS","GENOMIC","RANDOM"
"SRX4193752","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404569","","157.1","1","1836961","367247846","455108","WGS","GENOMIC","RANDOM"
"SRX4193751","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404568","","164.42","1","1777446","354752682","455108","WGS","GENOMIC","RANDOM"
"SRX4193750","","Shigella boydii","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404567","","155.2","1","1817289","349660585","455108","WGS","GENOMIC","RANDOM"
"SRX4193749","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404566","","165.39","1","1906397","372827167","455108","WGS","GENOMIC","RANDOM"
"SRX4193748","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404565","","159.97","1","1764580","352711429","455108","WGS","GENOMIC","RANDOM"
"SRX4193747","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404564","","153.68","1","1822735","350954300","455108","WGS","GENOMIC","RANDOM"
"SRX4193746","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404563","","166.38","1","1969015","394724300","455108","WGS","GENOMIC","RANDOM"
"SRX4193745","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404562","","164.56","1","1815948","357886765","455108","WGS","GENOMIC","RANDOM"
"SRX4193744","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404561","","177.23","1","2055359","386208714","455108","WGS","GENOMIC","RANDOM"
"SRX4193743","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404560","","139.05","1","1647798","330560170","455108","WGS","GENOMIC","RANDOM"
"SRX4193742","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404559","","146.01","1","1627978","326306092","455108","WGS","GENOMIC","RANDOM"
"SRX4193741","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404558","","140.27","1","1522989","303882048","455108","WGS","GENOMIC","RANDOM"
"SRX4193740","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404557","","113.98","1","1407239","281142326","455108","WGS","GENOMIC","RANDOM"
"SRX4193739","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404556","","46.42","1","593084","118993558","455108","WGS","GENOMIC","RANDOM"
"SRX4193738","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404555","","125.51","1","1653427","331329316","455108","WGS","GENOMIC","RANDOM"
"SRX4193737","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404554","","151.58","1","1777239","336339988","455108","WGS","GENOMIC","RANDOM"
"SRX4193736","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404553","","143.41","1","1674598","335788497","455108","WGS","GENOMIC","RANDOM"
"SRX4193735","","Shigella flexneri","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404551","","150.67","1","1671921","333346050","455108","WGS","GENOMIC","RANDOM"
"SRX4193734","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404549","","137.85","1","1619191","300028048","455108","WGS","GENOMIC","RANDOM"
"SRX4193702","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404536","","141.52","1","1483357","297102963","455108","WGS","GENOMIC","RANDOM"
"SRX4193701","","Shigella sonnei","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404535","","134.3","1","1638926","328127971","455108","WGS","GENOMIC","RANDOM"
"SRX4193700","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404533","","131.67","1","1403670","280816500","455108","WGS","GENOMIC","RANDOM"
"SRX4193699","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404534","","128.48","1","1545950","307779431","455108","WGS","GENOMIC","RANDOM"
"SRX4193698","","Escherichia coli","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404532","","124.54","1","1478116","281036462","455108","WGS","GENOMIC","RANDOM"
"SRX4193697","","Escherichia albertii","Illumina HiSeq 2500","PHE","SRP071789","Routine surveillance of E. coli and Shigella by Public Health England","SRS3404529","","128.24","1","1507411","301420465","455108","WGS","GENOMIC","RANDOM"
