Experiment.Accession,Experiment.Title,Organism.Name,Instrument,Submitter,Study.Accession,Study.Title,Sample.Accession,Sample.Title,Total.Size..Mb,Total.RUNs,Total.Spots,Total.Bases,Library.Name,Library.Strategy,Library.Source,Library.Selection
SRX4395979,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551160,NA,623.22,1,7233748,1446118817,455108,WGS,GENOMIC,RANDOM
SRX4395978,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551159,NA,433.5,1,5012185,1004477873,455108,WGS,GENOMIC,RANDOM
SRX4395971,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551152,NA,228.28,1,2623143,525813112,455108,WGS,GENOMIC,RANDOM
SRX4395962,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551143,NA,183.3,1,2309770,461898995,455108,WGS,GENOMIC,RANDOM
SRX4395949,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551131,NA,101.88,1,1125190,225573655,455108,WGS,GENOMIC,RANDOM
SRX4395948,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551129,NA,106.79,1,1342405,269161058,455108,WGS,GENOMIC,RANDOM
SRX4395947,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551126,NA,62.86,1,687864,137594585,455108,WGS,GENOMIC,RANDOM
SRX4395946,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551128,NA,98.4,1,1106080,221973324,455108,WGS,GENOMIC,RANDOM
SRX4395945,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551127,NA,105.23,1,1323419,264475702,455108,WGS,GENOMIC,RANDOM
SRX4395944,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551124,NA,130.1,1,1627682,326292602,455108,WGS,GENOMIC,RANDOM
SRX4395943,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3551125,NA,89.82,1,1137074,227730254,455108,WGS,GENOMIC,RANDOM
SRX4395362,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3550543,NA,82.35,1,1025458,205566741,455108,WGS,GENOMIC,RANDOM
SRX4391400,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547224,NA,275.72,1,3149237,624852253,455108,WGS,GENOMIC,RANDOM
SRX4391399,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547223,NA,314.43,1,3501082,700875174,455108,WGS,GENOMIC,RANDOM
SRX4391396,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547220,NA,166.04,1,1925055,385824999,455108,WGS,GENOMIC,RANDOM
SRX4391393,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547227,NA,181.38,1,2017344,401380203,455108,WGS,GENOMIC,RANDOM
SRX4391392,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547218,NA,161.75,1,1810546,363516534,455108,WGS,GENOMIC,RANDOM
SRX4391391,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547216,NA,139.3,1,1569210,314208541,455108,WGS,GENOMIC,RANDOM
SRX4391388,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547225,NA,197.94,1,2378229,476706291,455108,WGS,GENOMIC,RANDOM
SRX4391386,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547215,NA,134.1,1,1655040,329643990,455108,WGS,GENOMIC,RANDOM
SRX4391385,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547212,NA,220.23,1,2444132,490107732,455108,WGS,GENOMIC,RANDOM
SRX4391384,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547211,NA,73,1,796276,159873348,455108,WGS,GENOMIC,RANDOM
SRX4391382,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547208,NA,75.89,1,932772,186926366,455108,WGS,GENOMIC,RANDOM
SRX4391381,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547210,NA,113.65,1,1325216,265654026,455108,WGS,GENOMIC,RANDOM
SRX4391380,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3547207,NA,76.68,1,859873,172364849,455108,WGS,GENOMIC,RANDOM
SRX4389905,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3546243,NA,570.64,1,6392129,1279043900,455108,WGS,GENOMIC,RANDOM
SRX4389813,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3546155,NA,111.09,1,1248732,247830349,455108,WGS,GENOMIC,RANDOM
SRX4389812,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3546144,NA,174.59,1,1954641,391169931,455108,WGS,GENOMIC,RANDOM
SRX4389731,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3546069,NA,185.19,1,2196707,439797159,455108,WGS,GENOMIC,RANDOM
SRX4386119,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542394,NA,195.75,1,2333816,467397170,455108,WGS,GENOMIC,RANDOM
SRX4386118,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542385,NA,169.38,1,1994194,400224219,455108,WGS,GENOMIC,RANDOM
SRX4386117,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542392,NA,105.7,1,1184425,236177875,455108,WGS,GENOMIC,RANDOM
SRX4386116,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542384,NA,139.05,1,1642278,329578738,455108,WGS,GENOMIC,RANDOM
SRX4386115,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542383,NA,221.06,1,2629490,525326419,455108,WGS,GENOMIC,RANDOM
SRX4386114,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542390,NA,232.98,1,2727340,542365395,455108,WGS,GENOMIC,RANDOM
SRX4386113,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542388,NA,139.61,1,1619803,325073859,455108,WGS,GENOMIC,RANDOM
SRX4386112,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542381,NA,210.23,1,2477034,496871111,455108,WGS,GENOMIC,RANDOM
SRX4386111,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542389,NA,184.1,1,2175970,436211469,455108,WGS,GENOMIC,RANDOM
SRX4386110,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542380,NA,263.09,1,3149390,631040247,455108,WGS,GENOMIC,RANDOM
SRX4386044,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3542272,NA,136.96,1,1585428,317979660,455108,WGS,GENOMIC,RANDOM
SRX4381401,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3537639,NA,90.09,1,962728,191832237,455108,WGS,GENOMIC,RANDOM
SRX4375236,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532560,NA,189.41,1,2215852,443919188,455108,WGS,GENOMIC,RANDOM
SRX4375235,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532559,NA,235.29,1,2659841,528055319,455108,WGS,GENOMIC,RANDOM
SRX4375234,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532558,NA,143.37,1,1541923,305369190,455108,WGS,GENOMIC,RANDOM
SRX4375233,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532557,NA,144.19,1,1686160,332812696,455108,WGS,GENOMIC,RANDOM
SRX4375231,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532555,NA,141.29,1,1589644,319093497,455108,WGS,GENOMIC,RANDOM
SRX4375230,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532553,NA,186.5,1,2153108,417825799,455108,WGS,GENOMIC,RANDOM
SRX4375229,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532554,NA,136.62,1,1704701,339669379,455108,WGS,GENOMIC,RANDOM
SRX4375228,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532552,NA,133.77,1,1513394,303166263,455108,WGS,GENOMIC,RANDOM
SRX4375227,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532548,NA,142.66,1,1510276,300662670,455108,WGS,GENOMIC,RANDOM
SRX4375226,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532549,NA,205.05,1,2640513,529859779,455108,WGS,GENOMIC,RANDOM
SRX4375225,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532550,NA,213.51,1,2284681,453045463,455108,WGS,GENOMIC,RANDOM
SRX4375224,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532551,NA,169.67,1,1859080,360646489,455108,WGS,GENOMIC,RANDOM
SRX4375223,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532547,NA,161.1,1,1852687,363954554,455108,WGS,GENOMIC,RANDOM
SRX4375220,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532543,NA,213.59,1,2437080,479874619,455108,WGS,GENOMIC,RANDOM
SRX4375219,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532544,NA,201.67,1,2321800,452618707,455108,WGS,GENOMIC,RANDOM
SRX4375217,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532540,NA,248.83,1,2655672,526489415,455108,WGS,GENOMIC,RANDOM
SRX4375216,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532541,NA,152.11,1,1658550,332570784,455108,WGS,GENOMIC,RANDOM
SRX4375215,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532539,NA,208.23,1,2402439,478623293,455108,WGS,GENOMIC,RANDOM
SRX4375213,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532535,NA,150.9,1,1805920,353882462,455108,WGS,GENOMIC,RANDOM
SRX4375212,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532536,NA,170.96,1,1910394,382199288,455108,WGS,GENOMIC,RANDOM
SRX4375126,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532451,NA,95.87,1,1087028,217543240,455108,WGS,GENOMIC,RANDOM
SRX4375125,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532446,NA,127.16,1,1574698,282440006,455108,WGS,GENOMIC,RANDOM
SRX4375124,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532455,NA,93.87,1,1167515,224043452,455108,WGS,GENOMIC,RANDOM
SRX4375123,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532445,NA,117.18,1,1463910,293241552,455108,WGS,GENOMIC,RANDOM
SRX4375122,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532450,NA,98.06,1,1326614,242109126,455108,WGS,GENOMIC,RANDOM
SRX4375121,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532449,NA,110.97,1,1335754,267907259,455108,WGS,GENOMIC,RANDOM
SRX4375120,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532447,NA,184.05,1,1957057,385909714,455108,WGS,GENOMIC,RANDOM
SRX4375119,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532443,NA,112.13,1,1172892,234242925,455108,WGS,GENOMIC,RANDOM
SRX4375118,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532453,NA,106.63,1,1252881,246402585,455108,WGS,GENOMIC,RANDOM
SRX4375117,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532442,NA,126.23,1,1387698,274471541,455108,WGS,GENOMIC,RANDOM
SRX4375116,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532452,NA,168.15,1,1902132,381262334,455108,WGS,GENOMIC,RANDOM
SRX4375115,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532454,NA,128.45,1,1426821,285775088,455108,WGS,GENOMIC,RANDOM
SRX4375114,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532440,NA,108.35,1,1431692,264562709,455108,WGS,GENOMIC,RANDOM
SRX4375113,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532439,NA,114.91,1,1379987,276206256,455108,WGS,GENOMIC,RANDOM
SRX4375112,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532438,NA,110.68,1,1315864,256409528,455108,WGS,GENOMIC,RANDOM
SRX4375111,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532441,NA,62.7,1,797965,159910563,455108,WGS,GENOMIC,RANDOM
SRX4375110,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532433,NA,68.04,1,752644,150633244,455108,WGS,GENOMIC,RANDOM
SRX4375109,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3532435,NA,44.05,1,474288,91195535,455108,WGS,GENOMIC,RANDOM
SRX4371050,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3529391,NA,538.48,1,5470035,1090053686,455108,WGS,GENOMIC,RANDOM
SRX4370787,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3529135,NA,542.48,1,5540833,1100378913,455108,WGS,GENOMIC,RANDOM
SRX4370653,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3529007,NA,242.16,1,2666250,534418335,455108,WGS,GENOMIC,RANDOM
SRX4370648,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3529003,NA,269.22,1,3068118,612496960,455108,WGS,GENOMIC,RANDOM
SRX4370644,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528997,NA,239.77,1,2773876,539474301,455108,WGS,GENOMIC,RANDOM
SRX4370545,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528900,NA,207.76,1,2654424,529310735,455108,WGS,GENOMIC,RANDOM
SRX4370542,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528897,NA,246.16,1,2751349,539966450,455108,WGS,GENOMIC,RANDOM
SRX4370528,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528883,NA,241.75,1,2662914,521947835,455108,WGS,GENOMIC,RANDOM
SRX4370524,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528879,NA,202.96,1,2236403,443561400,455108,WGS,GENOMIC,RANDOM
SRX4370521,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528876,NA,207.81,1,2406333,473171446,455108,WGS,GENOMIC,RANDOM
SRX4370512,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528867,NA,170.11,1,1928265,380384115,455108,WGS,GENOMIC,RANDOM
SRX4370511,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528866,NA,164.17,1,1907222,370350981,455108,WGS,GENOMIC,RANDOM
SRX4370505,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528860,NA,258.24,1,2898891,579082018,455108,WGS,GENOMIC,RANDOM
SRX4370502,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528857,NA,211.48,1,2365400,472837652,455108,WGS,GENOMIC,RANDOM
SRX4370501,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528856,NA,218.59,1,2467836,485841071,455108,WGS,GENOMIC,RANDOM
SRX4370500,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528855,NA,156.16,1,1736470,343712442,455108,WGS,GENOMIC,RANDOM
SRX4370499,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528853,NA,160.61,1,1904218,366761691,455108,WGS,GENOMIC,RANDOM
SRX4370497,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528852,NA,153.68,1,1666132,333226400,455108,WGS,GENOMIC,RANDOM
SRX4370489,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528847,NA,227.52,1,2566379,502593825,455108,WGS,GENOMIC,RANDOM
SRX4370481,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528838,NA,300.3,1,3450511,683007102,455108,WGS,GENOMIC,RANDOM
SRX4370480,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528836,NA,133.17,1,1669234,334290302,455108,WGS,GENOMIC,RANDOM
SRX4370479,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528835,NA,145.98,1,1623425,319260306,455108,WGS,GENOMIC,RANDOM
SRX4370478,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528834,NA,180.34,1,1977848,392233735,455108,WGS,GENOMIC,RANDOM
SRX4370476,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528832,NA,170.96,1,1943273,381582642,455108,WGS,GENOMIC,RANDOM
SRX4370474,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528830,NA,162.07,1,1800301,360502088,455108,WGS,GENOMIC,RANDOM
SRX4370472,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528828,NA,109.57,1,1384369,277899423,455108,WGS,GENOMIC,RANDOM
SRX4370471,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528827,NA,302.38,1,3434993,686168047,455108,WGS,GENOMIC,RANDOM
SRX4370470,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528826,NA,129.32,1,1519460,304560290,455108,WGS,GENOMIC,RANDOM
SRX4370469,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528825,NA,169.93,1,1924548,382050048,455108,WGS,GENOMIC,RANDOM
SRX4370467,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528823,NA,232.68,1,2668158,508756375,455108,WGS,GENOMIC,RANDOM
SRX4370466,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528837,NA,182.67,1,2030503,397118376,455108,WGS,GENOMIC,RANDOM
SRX4370387,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528744,NA,233.77,1,2540746,502097589,455108,WGS,GENOMIC,RANDOM
SRX4370385,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528742,NA,119,1,1316681,263808776,455108,WGS,GENOMIC,RANDOM
SRX4370384,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528740,NA,203.57,1,2249925,444554471,455108,WGS,GENOMIC,RANDOM
SRX4370381,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528738,NA,111.62,1,1449870,267546313,455108,WGS,GENOMIC,RANDOM
SRX4370380,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528737,NA,254.4,1,2911305,580115017,455108,WGS,GENOMIC,RANDOM
SRX4370379,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528736,NA,98.36,1,1239777,247666654,455108,WGS,GENOMIC,RANDOM
SRX4370378,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528735,NA,249.12,1,2739858,535894462,455108,WGS,GENOMIC,RANDOM
SRX4370375,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528731,NA,72.77,1,816789,163696578,455108,WGS,GENOMIC,RANDOM
SRX4370373,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528730,NA,231.05,1,2506714,492450150,455108,WGS,GENOMIC,RANDOM
SRX4370372,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528732,NA,56.29,1,609545,122318667,455108,WGS,GENOMIC,RANDOM
SRX4370371,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528726,NA,118.33,1,1272753,255286350,455108,WGS,GENOMIC,RANDOM
SRX4370370,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528728,NA,112.1,1,1241114,248756340,455108,WGS,GENOMIC,RANDOM
SRX4370369,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528727,NA,226.5,1,2574655,508759614,455108,WGS,GENOMIC,RANDOM
SRX4370368,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528725,NA,215.27,1,2425701,484669831,455108,WGS,GENOMIC,RANDOM
SRX4370367,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528723,NA,128.39,1,1456636,288953831,455108,WGS,GENOMIC,RANDOM
SRX4370366,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528724,NA,230.35,1,2645702,523472125,455108,WGS,GENOMIC,RANDOM
SRX4370365,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528722,NA,227.74,1,2482910,491323483,455108,WGS,GENOMIC,RANDOM
SRX4370364,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528721,NA,97.15,1,1168355,233732114,455108,WGS,GENOMIC,RANDOM
SRX4370363,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS3528720,NA,183.01,1,2176783,422601108,455108,WGS,GENOMIC,RANDOM
